"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 17 08:06:49 UTC 2023","Tue Oct 17 08:06:50 UTC 2023","231","chromium","api.spec.ts","Api testing","","","Get Request - get User by id and verify data",""
"passed","Tue Oct 17 08:06:50 UTC 2023","Tue Oct 17 08:06:50 UTC 2023","182","chromium","api.spec.ts","Api testing","","","Delete Request - delete created User",""
"passed","Tue Oct 17 08:06:50 UTC 2023","Tue Oct 17 08:06:50 UTC 2023","133","chromium","api.spec.ts","Api testing","","","Delete Request - Trying to delete with deleted user",""
"passed","Tue Oct 17 08:06:49 UTC 2023","Tue Oct 17 08:06:49 UTC 2023","409","chromium","api.spec.ts","Api testing","","","Post Request - Create New User",""
